Vehicle,Type of Vehicle,Motor Power,Battery Type & Capacity,Range (km),Top Speed (km/h),Charging Time,Tyres (Front/Rear),Brakes,Suspension (Front/Rear),Technology & Features,Colors,Warranty
Honda Activa e,EV,6 kW PMSM motor,"Swappable Li-ion, 1.5 kWh × 2 (total 3 kWh)",102 km/charge,80 km/h,7 hours (0–100%),"90/90-12 / 110/80-12","Front Disc 160 mm, Rear Drum 130 mm","Telescopic / Spring-loaded hydraulic (3-step)","Econ/Std/Sport modes, Reverse, Smart Key, TFT 7-inch RoadSync display","Pearl Shallow Blue, Pearl Misty White, Pearl Serenity Blue, Matt Foggy Silver, Pearl Igneous Black","3 years / 50,000 km"
Honda QC1,EV,1.8 kW hub motor,"Fixed Li-ion, 1.5 kWh",80 km/charge,50 km/h,6.5 hours (0–100%),"12-inch alloy / 10-inch alloy","Front & Rear Drum with CBS","Telescopic fork / Twin preload-adjustable shocks","LED lights, 5-inch LCD, USB-C, Econ & Standard modes","Pearl Serenity Blue, Pearl Misty White, Matt Foggy Silver Metallic, Pearl Igneous Black, Pearl Shallow Blue","3 years (vehicle & components)"
